PUESTO;SALARIO;JORNADA;AÑOS DE SERVICIO;MES COMPLETO;CARGO ADMINISTRATIVO
TECNICO ESPECIALIZADO D;1246816.00;1.000;18; ;TÉCNICO ESPECIALIZADO EN ENSAYOS DE INFRAESTRUCTURAS CIVIL Y VIAL                                                                                                                                                                                               
TECNICO ASISTENCIAL B;1209515.00;1.000;18; ;ASISTENTE DE ADMINISTRACIÓN                                                                                                                                                                                                                                     
PROFESOR INV. II AÑO SEP-CONARE AS ASOC;2123207.00;1.000;11; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;885579.75;0.750;10; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO D;1605815.00;1.000;18; ;
PROFESIONAL B;2748442.00;1.000;19; ;PROFESIONAL GESTOR DE PROYECTOS DE INVESTIGACIÓN                                                                                                                                                                                                                
TECNICO ASISTENCIAL A;1159391.00;1.000;19; ;ASISTENTE EN ARCHIVÍSTICA                                                                                                                                                                                                                                       
TECNICO ASISTENCIAL B;1230791.00;1.000;19; ;PENDIENTE                                                                                                                                                                                                                                                       
SUBCONTRALOR;4119759.00;1.000;19; ;SUBCONTRALOR UNIVERSITARIO                                                                                                                                                                                                                                      
TRABAJADOR OPERATIVO B;1076956.00;1.000;19; ;CONSERJE                                                                                                                                                                                                                                                        
TRABAJADOR OPERATIVO B;1076956.00;1.000;19; ;CONSERJE                                                                                                                                                                                                                                                        
PROFESIONAL A;806394.50;1.000;7; ;PROFESIONAL EN SALUD OCUPACIONAL                                                                                                                                                                                                                                
TECNICO ESPECIALIZADO B;1188901.00;1.000;14; ;PENDIENTE                                                                                                                                                                                                                                                       
PROFESIONAL A;1875142.00;1.000;17; ;PROFESIONAL EN REFERENCIA BIBLIOGRÁFICA                                                                                                                                                                                                                         
PROFESOR INSTRUCTOR                    ;2081424.00;1.000;19; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;2712855.00;1.000;15; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;104959.45;0.125;8;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO
PROFESIONAL C;2959082.00;1.000;19; ;PROFESIONAL EN ASESORÍA LEGAL                                                                                                                                                                                                                                   
PROFESIONAL C;2731369.00;1.000;19; ;PROFESIONAL EN ASESORÍA JURÍDICA INSTITUCIONAL                                                                                                                                                                                                                  
TECNICO ASISTENCIAL B;1230791.00;1.000;19; ;ASISTENTE DE REGISTRO E INFORMACIÓN ESTUDIANTIL                                                                                                                                                                                                                 
PROFESIONAL C;2814380.00;1.000;19; ;PROFESIONAL EN DISEÑO ARQUITECTÓNICO DE OEPI                                                                                                                                                                                                                    
TRABAJADOR OPERATIVO C;1525528.00;1.000;19; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
TRABAJADOR OPERATIVO C;1723637.00;1.000;19; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
TECNICO ESPECIALIZADO D;1648876.00;1.000;19; ;TÉCNICO EN COMPUTACIÓN E INFORMÁTICA                                                                                                                                                                                                                            
PROFESIONAL B;2783439.00;1.000;19; ;PROFESIONAL EN ORIENTACIÓN ESTUDIANTIL DE SEDE                                                                                                                                                                                                                  
TECNICO ASISTENCIAL A;1148760.00;1.000;19; ;ENCARGADO DE EQUIPO AUDIOVISUAL E INSTALACIONES                                                                                                                                                                                                                 
PROFESOR EXBECARIO DOCTORADO           ;2623737.00;1.000;13; ;PUESTO NO ADMINISTRATIVO
TRABAJADOR OPERATIVO C;1525528.00;1.000;19; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
PROFESIONAL D;3579033.60;1.000;19; ;PROFESIONAL COORDINADOR DE AUDITORÍAS COMPLEJAS                                                                                                                                                                                                                 
PROFESIONAL B;3330410.00;1.000;19; ;PROFESIONAL EN ORIENTACIÓN ESTUDIANTIL DE SEDE                                                                                                                                                                                                                  
PROFESIONAL B;1976551.00;1.000;12; ;PROFESIONAL EN GEOGRAFÍA                                                                                                                                                                                                                                        
PROFESOR ASOCIADO                      ;2426473.00;1.000;17; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO D;1620852.00;1.000;19; ;TÉCNICO ESPECIALIZADO EN ENSAYOS DE INFRAESTRUCTURAS CIVIL Y VIAL                                                                                                                                                                                               
TECNICO ASISTENCIAL B;1914806.00;1.000;19; ;ENCARGADO DE ARMERÍA INSTITUCIONAL                                                                                                                                                                                                                              
TECNICO ASISTENCIAL B;1230791.00;1.000;19; ;ASISTENTE DE LABORATORIO                                                                                                                                                                                                                                        
PROFESOR INTERINO LICENCIADO           ;104959.40;0.126;3; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;1152448.00;1.000;14; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;1040236.00;0.500;10; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;133661.50;0.156;2; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;163240.70;0.125;10; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;229540.25;0.250;5; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;277192.30;0.188;7; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;379184.00;0.250;7; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL B;2463343.00;1.000;16; ;PROFESIONAL EN ELABORACIÓN DE INDICADORES DE GESTIÓN ADMINISTRATIVA                                                                                                                                                                                             
TECNICO ASISTENCIAL A;1141254.00;1.000;19; ;PENDIENTE                                                                                                                                                                                                                                                       
PROFESOR INTERINO LICENCIADO           ;1854033.00;1.000;18; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO B;1380609.00;1.000;19; ;TÉCNICO EN APOYO A ADMISIÓN Y MATRÍCULA                                                                                                                                                                                                                         
TECNICO ESPECIALIZADO B;1248215.00;1.000;15; ;TÉCNICO EN SERVICIOS MULTIMEDIA                                                                                                                                                                                                                                 
PROFESIONAL B;1832141.00;1.000;14; ;PROFESIONAL EN APOYO A LA INVESTIGACIÓN DE LANAMME                                                                                                                                                                                                              
TECNICO ESPECIALIZADO B;1380609.00;1.000;19; ;TÉCNICO EN BIBLIOTECOLOGÍA                                                                                                                                                                                                                                      
PROFESOR INSTRUCTOR                    ;1647278.00;1.000;16; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO;1759302.00;1.000;19; ;PROFESIONAL EN PROGRAMAS DEPORTIVOS Y RECREATIVOS DE SEDE                                                                                                                                                                                                       
TECNICO ASISTENCIAL B;857481.00;1.000;17; ;SECRETARIA DE DIRECCIÓN                                                                                                                                                                                                                                         
PROFESOR INTERINO LICENCIADO           ;55978.40;0.125;0;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO
PROFESIONAL B;2295321.00;1.000;18; ;PROFESIONAL EN PERIODISMO                                                                                                                                                                                                                                       
PROFESOR INTERINO LICENCIADO           ;1167879.00;1.000;8; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;1082619.00;1.000;5; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;220086.50;0.125;18; ;PUESTO NO ADMINISTRATIVO
PROFESOR EXBECARIO DOCTORADO           ;2654410.00;1.000;14; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;1145876.50;0.500;18; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL B;2010175.00;1.000;16; ;PROFESIONAL EN INFRAESTRUCTURA CIVIL Y VIAL                                                                                                                                                                                                                     
DIRECTOR;2362501.00;1.000;8; ;DIRECTOR(A) DEL CANAL UCR                                                                                                                                                                                                                                       
DECANO;2970029.00;1.000;17; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;320787.70;0.375;6; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;1394220.75;1.000;9; ;PUESTO NO ADMINISTRATIVO
PROFESOR ASOCIADO                      ;2435827.00;1.000;15; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;106929.20;0.125;2; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL B;1319515.00;1.000;18; ;ASISTENTE DE REGISTRO E INFORMACIÓN ESTUDIANTIL                                                                                                                                                                                                                 
PROFESOR ADJUNTO                       ;2001789.00;1.000;18; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;214361.40;0.125;17; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL A;1857928.00;1.000;18; ;PROFESIONAL EN REFERENCIA BIBLIOGRÁFICA                                                                                                                                                                                                                         
PROFESOR INSTRUCTOR                    ;2150088.00;1.000;14; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;2364558.00;1.000;13; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;952339.00;1.000;7; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;1194199.25;1.000;9; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO D;1620852.00;1.000;19; ;TÉCNICO EN COMPUTACIÓN E INFORMÁTICA                                                                                                                                                                                                                            
PROFESIONAL A;2089975.00;1.000;18; ;PROFESIONAL COORDINADOR A DE BIBLIOTECA                                                                                                                                                                                                                         
TECNICO ESPECIALIZADO D;1620852.00;1.000;19; ;ENCARGADO DE TRÁMITES DE RECURSOS HUMANOS DE SEDE                                                                                                                                                                                                               
PROFESOR CATEDRATICO                   ;2908226.00;1.000;14; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;983143.80;1.000;6; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL C;1997769.00;1.000;19; ;PROFESIONAL EN ASESORÍA JURÍDICA INSTITUCIONAL                                                                                                                                                                                                                  
PROFESIONAL B;2426458.00;1.000;18; ;PROFESIONAL EN PRODUCCIÓN INFORMÁTICA                                                                                                                                                                                                                           
PROFESOR INTERINO LICENCIADO           ;1102402.50;0.750;22; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;209919.00;0.250;4; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;471911.50;0.500;5; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO;1256161.50;1.000;12; ;PROFESIONAL EN APOYO A LA REGENCIA QUÍMICA INSTITUCIONAL                                                                                                                                                                                                        
PROFESOR CATEDRATICO                   ;2660751.00;1.000;14; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;1563512.00;1.000;11; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO;1395550.50;1.000;14; ;PROFESIONAL EN DISEÑO DE SITIOS WEB                                                                                                                                                                                                                             
PROFESOR INTERINO LICENCIADO           ;1416966.00;1.000;15; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;1952717.00;1.000;18; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;399928.05;0.375;7; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;848200.55;0.625;10; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;299132.60;0.250;12; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;209919.00;0.250;1; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL B;2340353.00;1.000;15; ;PROFESIONAL EN ARQUITECTURA DE SERVICIOS GENERALES                                                                                                                                                                                                              
TECNICO ESPECIALIZADO C;1440554.00;1.000;19; ;TÉCNICO EN ACTIVOS FIJOS                                                                                                                                                                                                                                        
PROFESOR INTERINO LICENCIADO           ;419838.00;0.500;1; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL C;2180927.00;1.000;14; ;PROFESIONAL EN DISEÑO ARQUITECTÓNICO DE OEPI                                                                                                                                                                                                                    
PROFESOR INTERINO LICENCIADO           ;1153278.00;1.000;9; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;855434.00;1.000;5; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL A;2161997.00;1.000;19; ;PROFESIONAL EN  ADMINISTRACIÓN DEL CATÁLOGO DE BIENES Y SERVICIOS                                                                                                                                                                                               
TRABAJADOR OPERATIVO B;1076956.00;1.000;19; ;CONSERJE                                                                                                                                                                                                                                                        
TRABAJADOR OPERATIVO B;1076956.00;1.000;19; ;CONSERJE                                                                                                                                                                                                                                                        
PROFESOR INTERINO LICENCIADO           ;157439.15;0.188;14; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL B;1855789.00;1.000;12; ;PROFESIONAL EN CONTROL DEL SISTEMA DE GESTIÓN DE CALIDAD                                                                                                                                                                                                        
PROFESOR ASOCIADO                      ;917402.50;0.500;15; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;323380.50;0.250;11; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;3563568.00;1.000;18; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO C;1477582.00;1.000;19; ;TÉCNICO EN SERVICIOS DE VIDEOTECA                                                                                                                                                                                                                               
PROFESOR INTERINO LICENCIADO           ;1017979.80;1.000;6; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;1612177.00;1.000;14; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;300131.25;0.250;6; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;458857.50;0.250;6; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL A;954523.50;0.500;18; ;PROFESIONAL EN ATENCIÓN INTEGRAL DE LA SALUD INFANTIL                                                                                                                                                                                                           
PROFESOR INTERINO LICENCIADO           ;1056450.00;0.750;13; ;PUESTO NO ADMINISTRATIVO
PROFESOR INVITADO I AÑO, LIC.SEP-CONARE;1475181.00;1.000;13; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL A;1148760.00;1.000;18; ;ASISTENTE DE OFICINA                                                                                                                                                                                                                                            
PROFESIONAL A;1909047.00;1.000;18; ;PROFESIONAL EN INFORMES FINANCIEROS DE OAF                                                                                                                                                                                                                      
PROFESOR ASOCIADO                      ;1789463.00;1.000;11; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;754624.50;0.750;14; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL B;1890180.00;1.000;15; ;PROFESIONAL EN PRODUCCIÓN RADIOFÓNICA                                                                                                                                                                                                                           
PROFESOR INVITADO I AÑO, EXBEC.DOCTOR  ;1503034.00;1.000;8; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;1951844.00;1.000;15; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;1008222.00;1.000;3; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;1380518.00;1.000;10; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;248661.75;0.250;4; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;2257775.50;1.000;14; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;314878.45;0.375;0;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;1435052.00;1.000;14; ;PUESTO NO ADMINISTRATIVO
PROFESOR ASOCIADO                      ;2390055.00;1.000;16; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;167935.20;0.375;5;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;126627.20;0.125;10; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL B;1595530.00;1.000;12; ;PROFESIONAL EN ASESORÍA Y EVALUACIÓN CURRICULAR                                                                                                                                                                                                                 
TECNICO ASISTENCIAL A;1236585.00;1.000;19; ;OFICIAL DE TRÁNSITO                                                                                                                                                                                                                                             
TECNICO ASISTENCIAL B;1270624.35;1.000;19; ;ASISTENTE DE ADMINISTRACIÓN                                                                                                                                                                                                                                     
PROFESIONAL C;2530671.00;1.000;15; ;PROFESIONAL EN AUDITORÍA TÉCNICA                                                                                                                                                                                                                                
PROFESOR CATEDRATICO                   ;2501989.00;1.000;17; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;223913.60;0.500;2;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO
PROFESIONAL B;1733422.40;1.000;9; ;PROFESIONAL EN ASESORÍA Y EVALUACIÓN CURRICULAR                                                                                                                                                                                                                 
PROFESIONAL A;2148294.00;1.000;18; ;JEFATURA ADMINISTRATIVA A DE ESCUELA                                                                                                                                                                                                                            
PROFESOR INTERINO LICENCIADO           ;673213.50;0.500;15; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;302254.50;0.250;10; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL B;1006205.50;0.500;17; ;PROFESIONAL EN TRABAJO SOCIAL CASE                                                                                                                                                                                                                              
TRABAJADOR OPERATIVO C;1512521.00;1.000;19; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
PROFESOR INTERINO LICENCIADO           ;217798.25;0.250;3; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;3945198.00;1.000;19; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;94188.40;0.063;17; ;PUESTO NO ADMINISTRATIVO
DIRECTOR INSTITUTO INVESTIGACIÓN;2545936.00;1.000;12; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;847533.00;0.500;16; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;638829.25;0.375;17; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;213858.50;0.250;3; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL B;1219335.00;1.000;19; ;ASISTENTE DE LABORATORIO                                                                                                                                                                                                                                        
PROFESOR INSTRUCTOR                    ;457536.30;0.250;20; ;PUESTO NO ADMINISTRATIVO
PROFESOR ADJUNTO                       ;2331308.00;1.000;18; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;903603.50;0.500;12; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO D;1605815.00;1.000;18; ;ENCARGADO DE SERVICIOS ADMINISTRATIVOS DE CENTRO                                                                                                                                                                                                                
TRABAJADOR OPERATIVO C;1586811.00;1.000;18; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
TECNICO ESPECIALIZADO A;1279785.00;1.000;18; ;TÉCNICO EN GESTIÓN DE POSGRADOS A                                                                                                                                                                                                                               
TECNICO ESPECIALIZADO C;1405180.00;1.000;18; ;TÉCNICO EN EDUCACIÓN PREESCOLAR                                                                                                                                                                                                                                 
PROFESIONAL A;1880793.00;1.000;18; ;PROFESIONAL EN PLANIFICACIÓN LOGÍSTICA                                                                                                                                                                                                                          
PROFESOR INTERINO LICENCIADO           ;117977.80;0.125;5; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;104959.45;0.125;2;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;2393647.00;1.000;17; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL A;1168815.00;1.000;19; ;ASISTENTE DE OFICINA                                                                                                                                                                                                                                            
PROFESIONAL C;2688512.00;1.000;18; ;PROFESIONAL EN CONTROL INTERNO DE OPLAU                                                                                                                                                                                                                         
PROFESIONAL A;1929248.00;1.000;18; ;JEFATURA ADMINISTRATIVA A DE CENTRO                                                                                                                                                                                                                             
PROFESOR INTERINO LICENCIADO           ;347659.50;0.250;13; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;220712.15;0.125;18; ;PUESTO NO ADMINISTRATIVO
TRABAJADOR OPERATIVO B;1066877.00;1.000;18; ;PENDIENTE                                                                                                                                                                                                                                                       
PROFESIONAL D;123846.60;0.125;13; ;
PROFESOR INSTRUCTOR                    ;1297140.75;0.750;17; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO C;1452028.00;1.000;18; ;TÉCNICO EN EDUCACIÓN PREESCOLAR                                                                                                                                                                                                                                 
TECNICO ASISTENCIAL A;1148760.00;1.000;18; ;OPERARIO EN MANTENIMIENTO GENERAL DE INSTALACIONES                                                                                                                                                                                                              
TECNICO ASISTENCIAL A;898853.00;1.000;17; ;ASISTENTE DE OFICINA                                                                                                                                                                                                                                            
PROFESIONAL B;2388460.00;1.000;18; ;PROFESIONAL GESTOR DE PROYECTOS DE INVESTIGACIÓN                                                                                                                                                                                                                
PROFESIONAL A;2128093.00;1.000;18; ;Profesional en Recursos Humanos de Sede                                                                                                                                                                                                                         
PROFESOR INTERINO;1061542.00;1.000;9; ;PROFESIONAL EN ESTADÍSTICA                                                                                                                                                                                                                                      
PROFESOR INSTRUCTOR                    ;469257.00;0.250;15; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;77814.10;0.063;15; ;PUESTO NO ADMINISTRATIVO
TRABAJADOR OPERATIVO A;1039730.00;1.000;18; ;TRABAJADOR AGROPECUARIO                                                                                                                                                                                                                                         
TECNICO ASISTENCIAL B;1188238.00;1.000;16; ;ASISTENTE DE ADMINISTRACIÓN                                                                                                                                                                                                                                     
TRABAJADOR OPERATIVO C;1373225.00;1.000;16; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
PROFESOR INSTRUCTOR                    ;215649.40;0.125;19; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO B;1317718.00;1.000;18; ;TÉCNICO EN ASUNTOS ESTUDIANTILES DEL SEP                                                                                                                                                                                                                        
PROFESIONAL A;1979248.00;1.000;18; ;PROFESIONAL EN INFORMÁTICA                                                                                                                                                                                                                                      
PROFESIONAL B;2295393.25;1.000;18; ;PROFESIONAL GESTOR DE PROYECTOS DE INVESTIGACIÓN                                                                                                                                                                                                                
TECNICO ASISTENCIAL A;1148760.00;1.000;18; ;PENDIENTE                                                                                                                                                                                                                                                       
PROFESIONAL A;1767622.00;1.000;18; ;PROFESIONAL EN INFORMÁTICA                                                                                                                                                                                                                                      
TRABAJADOR OPERATIVO C;1586811.00;1.000;18; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
PROFESOR CATEDRATICO                   ;3351801.00;1.000;19; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL D;2996583.00;1.000;18; ;PROFESIONAL COORDINADOR DE CENTRO DE ORIENTACIÓN VOCACIONAL                                                                                                                                                                                                     
TECNICO ESPECIALIZADO B;1555549.00;1.000;18; ;TÉCNICO EN BIBLIOTECOLOGÍA                                                                                                                                                                                                                                      
TRABAJADOR OPERATIVO C;1550292.00;1.000;18; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
TECNICO ASISTENCIAL A;1139336.00;1.000;18; ;ENCARGADO DE EQUIPO AUDIOVISUAL E INSTALACIONES                                                                                                                                                                                                                 
TECNICO ESPECIALIZADO B;1293964.50;1.000;18; ;TÉCNICO EN SERVICIOS MULTIMEDIA                                                                                                                                                                                                                                 
PROFESOR ADJUNTO                       ;1730996.00;1.000;14; ;PUESTO NO ADMINISTRATIVO
TRABAJADOR OPERATIVO B;1058343.00;1.000;18; ;CONSERJE                                                                                                                                                                                                                                                        
TRABAJADOR OPERATIVO B;821481.00;1.000;17; ;CONSERJE                                                                                                                                                                                                                                                        
PROFESOR CATEDRATICO                   ;2133789.00;1.000;18; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;251834.25;0.250;6; ;PUESTO NO ADMINISTRATIVO
PROFESOR INVITADO I AÑO, EXBEC.DOCTOR  ;1388271.00;1.000;7; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL B;1019817.00;1.000;13; ;ASISTENTE DE PROGRAMAS DEPORTIVOS Y RECREATIVOS                                                                                                                                                                                                                 
PROFESOR ASOCIADO                      ;2601704.00;1.000;18; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL A;1909047.00;1.000;18; ;PENDIENTE                                                                                                                                                                                                                                                       
PROFESOR INTERINO LICENCIADO           ;359415.15;0.500;6; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;1230048.00;1.000;9; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO D;1592829.00;1.000;18; ;ENCARGADO DE SERVICIOS ADMINISTRATIVOS DE CENTRO                                                                                                                                                                                                                
TECNICO ESPECIALIZADO B;1356726.00;1.000;18; ;TÉCNICO EN ASISTENCIA DENTAL                                                                                                                                                                                                                                    
TECNICO ESPECIALIZADO B;1487387.00;1.000;17; ;TÉCNICO EN PAGO DE DESIGNACIONES                                                                                                                                                                                                                                
TECNICO ASISTENCIAL B;1209515.00;1.000;18; ;ASISTENTE DE ADMINISTRACIÓN                                                                                                                                                                                                                                     
TRABAJADOR OPERATIVO C;1105680.00;1.000;18; ;AUXILIAR DE INSTALACIONES DEPORTIVAS                                                                                                                                                                                                                            
PROFESOR INTERINO LICENCIADO           ;769654.70;0.800;2; ;PUESTO NO ADMINISTRATIVO
PROFESOR ASOCIADO                      ;2232589.00;1.000;15; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;472548.65;0.375;13; ;PUESTO NO ADMINISTRATIVO
PROFESOR EXBECARIO DOCTORADO           ;2305273.00;1.000;11; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO C;1452028.00;1.000;18; ;TÉCNICO EN TRÁMITE DE BECAS AL EXTERIOR                                                                                                                                                                                                                         
TECNICO ESPECIALIZADO B;1356726.00;1.000;18; ;TÉCNICO EN DISEÑO GRÁFICO                                                                                                                                                                                                                                       
TRABAJADOR OPERATIVO B;1076956.00;1.000;18; ;
TRABAJADOR OPERATIVO C;1611575.00;1.000;18; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
PROFESOR CATEDRATICO                   ;4293582.00;1.000;21; ;PUESTO NO ADMINISTRATIVO
TRABAJADOR OPERATIVO C;1105680.00;1.000;18; ;CHOFER                                                                                                                                                                                                                                                          
TRABAJADOR OPERATIVO C;1105680.00;1.000;18; ;CHOFER                                                                                                                                                                                                                                                          
PROFESOR INTERINO LICENCIADO           ;1686955.00;1.000;15; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL B;1359515.00;1.000;18; ;SECRETARIA DE DIRECCIÓN                                                                                                                                                                                                                                         
TECNICO ESPECIALIZADO B;1466726.00;1.000;18; ;ENCARGADO DE SERVICIOS ADMINISTRATIVOS DE INSTITUTO                                                                                                                                                                                                             
PROFESOR ASOCIADO                      ;2883009.00;1.000;18; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO A;1280388.00;1.000;18; ;TÉCNICO EN GESTIÓN DE POSGRADOS A                                                                                                                                                                                                                               
PROFESOR INTERINO LICENCIADO           ;765085.50;0.750;12; ;PUESTO NO ADMINISTRATIVO
